,sarcasm,sentiment,dialect,cleaned_tweet
0,False,POS,msa,اسماء شهداء ثور المجدللشهداء ريتوي تير جد قى
1,False,NEU,egypt,جبر إنس خير كفي عقل يحير لي نهارده يطلب شتهي لي كر شتهي غير عجب صلاحجاه
2,False,NEG,egypt,ميس قليل دب مدرب حط خط دفاع ضرب تمرير حد
3,True,NEG,gulf,جنس مختلف جامع عرب شف شيء سيطر تام مسمى مك اشتراك
4,False,NEG,msa,ساويرس طالب منع مظاهر منتهى وقاح حد كبر لصوص فى تاريخ مصر
5,False,NEG,msa,عباد قصف ردوغا صاروخ رض رض
6,True,NEG,egypt,دي نبى برادعى لى قال هنعمل مصالح شتغل اسطوان خا عميل رهابى خوانى عايز طلع عش رضى امريك
7,False,NEU,msa,خبار دور اسبان إصاب ضرب حارس مرمى رشلون إسبان
8,False,NEU,egypt,مازو في في مواقع ثان بيع نص سعر لعب رسم
9,False,NEG,msa,موحرام طلاب جامع خاص يفصفص زر حنا ماعم نام ليل له عرفان نو هي وضع نت ريح حال سجل مفتوح او لا عل قلب قسم له حرام لي عم ساوو دكاتر جامع في
10,False,NEU,msa,تائج انتخاب ثت رعب قلوب ليبرالي اد استفتاء إيطالي يم متطرف بلاد عل
11,True,POS,egypt,ريك مار طلع يتاخد را مصنع كراس صغر
12,False,POS,msa,ضحك جيم شعر
13,False,NEU,msa,ميليش وراء حكوم ميزان جيوش دول بنا سور إير خلف قوى عظمى شرق
14,True,NEG,msa,منع رنامج اراجوز اسم وسف قضاء غلق قنو محترم قتل حر رأى اعلام حرق
15,False,NEG,msa,شو شعب لبنان مسك قليل انو مخل هي زعم سوقو ضيعا بنا
16,False,POS,msa,عرف فرحه لي حس نفس طايرينللسماء نا عيش وم سبب
17,False,NEU,msa,طريق احتراف سنايبر
18,False,NEU,egypt,ترامب يرا دعم اسد اموال فرج عن اوبام
19,False,NEG,msa,إير صف ضابط هوازي رفض قتال سورياالتدخلاتالايرانيه الشرقالاوسط خليج
20,False,NEU,msa,حكم أسبوع صدق ناس عندم شكو إرث إخفاق هائل رك نظام سابق رث نظام سياس فاشل
21,False,POS,egypt,لي عيو دوني مالعالم كل خد
22,False,NEU,msa,عاجل عمروموسى أم عام أسبق جامع دول عربيه الجامعهالعربيه شل سياسي ستثن حد مسئول
23,False,NEU,msa,بل كبر مستفيد مشكل شرك تكنوجي
24,False,NEU,msa,متىيعودالعراقللعراقأين حرار عراق نكر تاريخ طل طال أم عرب صدام حام بواب شرق
25,False,POS,msa,وم عظيم شعب عظيم اذن له حشود مصري هتاف سلم حر صخر نصر قادم نصر لا له
26,False,NEG,msa,نوو مررررراااا ضع مول نووو شف شب ابا رح اكتشف نو خووو
27,False,NEU,gulf,يندوز ممتاز جلب مشاكل جد اب وب اضا لي حل من نه جهاز علق رات ذا ترك استخدام
28,True,NEG,msa,ترامب صبح رئيس امريكا رسل هيلاريكلنتون سجن ثورقادح
29,False,NEU,msa,واضح ان احزاب سياس امريك متفق ان كو هيلار لنتون رئيس قادم ولا متحد
30,False,POS,msa,شار يوم مبادر وداف محو أم علم قو سفير مبادر متطوع حقيق هدف قوم أن صبح مصر لا مي
31,False,NEG,msa,تورط ناس مأسا سبب عيوب إنما سبب ضائل قدر هاروك موراكام
32,False,NEU,msa,زير خارج ريطانيا دعو تظاهر ضد روسياحلب سوري
33,False,NEU,msa,نائس قدس نتفض نصر مساجد انتفاضةالقدسللقدسانتفض
34,False,NEU,msa,يوم سابع سلاسل شر نصار حمدينصباحى سويس أييد رئاس
35,False,NEG,levant,محنك يونس يرس ان زت ارجن شو قال حن فضل دون فقاعه ان تعثر قال ميس هرب المسئوليهبكل حالت
36,True,NEG,egypt,مركزتدريبقيادهللنساءفقط ههههه دن مسخر ياراقل هون نفس يامج رنس
37,False,NEG,msa,فيتوالعارالروسي ضد مشروع إنقاذ حلب غذي إرهاب تطرف فقد ثق عالم مجلسالأمن مؤسف مخز كو موقف مصر ضد
38,False,NEG,msa,اعرفوهمانقلابمصريسقطحكمالعسكر الداخليةبلطجية شهداءالحرية شهيد محمد حي عام نيسويف
39,False,NEG,msa,تناقش حد أكد ول مخ مكان صح
40,False,NEU,msa,مم سؤال تعنقد جماع داعش منهاج نبو دع
41,False,NEG,egypt,موب تاع بوظ ايام مش سيباناااااا مش سيباناااا حال
42,False,NEG,msa,قل رئيس شباب ثور فق ضد تهم اجهز أمن نت سال اجهز أمن أبرياء في توقع ان عترف اجهز أمن تلفيق عتذر
43,False,POS,egypt,حرام عليك جدع سا ضل ال وم ايامانت مش عارف مرسى مم عمل يه فى ال يام دولاد راجل رص ومال
44,False,NEG,msa,افلام جديد مذبح رابع قدم سفير ابراهيم سرى عيد تفكير فى مبادر كل فكر فى عمل مبادر جديد
45,False,NEG,egypt,مش حارق دمى مدعو عدلىمنصور مصدق نفس رئيس
46,True,NEG,msa,مجرم افروف قول هم أوضاع انسان حلب قديم مساعد توقف ثرثر
47,False,NEU,msa,بي تاب هار وتر من قل يت ضاع صندوق لي تب
48,True,NEG,msa,أجنب قرأ تاريخ قول نا غبياء عرب قرأ تاريخ قول غبياء قع عرب
49,False,NEG,levant,لي على سو تقدم شكوى ضد محكم ادار تم صدور حكم قضائ ضد قام صندوق عقار استئناف ضد حكم قضائ عل شيء مؤلم جه حكوم تم إنشاء خدم مواطن صبح ترافع ضد مواطن بسيط حرما حق قانون قرض حسن
50,False,NEU,msa,عاجل مشكل جوجلادسنس ايوجد حديث يان ارباح اليوميةالاخبارالتقنية
51,False,POS,msa,نائس قدس رفع اذ رد قرار منع اذ شكر باع بي عيسى سلام
52,False,NEU,msa,هدف قاتل لحظ الاخيرةفالنتين وكر حسم قم سويسر مجر بلاد روج درر
53,False,NEU,msa,احتلال قتحم حرم جامعةالقدس حطم محتو معرض طلاب
54,True,NEG,egypt,لد نت سخ منصور
55,False,NEU,msa,سلسل فضائح عصف دونالد ترامب ؤكد أن نسحب سباق إنتخاب
56,False,POS,msa,وال زغب صو هدوء
57,True,NEG,egypt,بلحهنيتهسوده سا دبلوماس رسال تل يب سيس شعب إسرائيل مع
58,False,NEU,msa,اف هال ينوى شارك حرير موصل داعش اي ركو
59,False,NEU,egypt,لام مردودعل أفعال ردوغ سوري لاد مناكف عن مجتمع دول منذالبدايةوقل ماذاعملت هل حلب
60,False,NEG,msa,موكب رماد استرو نطلق مثوا أخير
61,False,NEG,msa,اسلام بي محمد راء عمال قرب ماتك ادي وثن مت دي له صل
62,True,NEG,levant,حزب حق كت قال له قال رسول حصل قص رسول حصل خديج نفس عرف اش در مواقف لي حصل رسول
63,False,NEU,msa,فعل تفكير مشاعر خفي جس يبر
64,False,NEU,msa,له ياسعد دا بث مطبخ ثقل هايت مرجيح عب حزبالاعاده
65,False,NEU,msa,تنويههامرصدطامحعصابات من حماس مرتد نصب مين قرب محط بنز منطق ظهر نوير شارع بحر مخيم نصير انخذواحذركم
66,False,NEU,egypt,فكار يه مؤتمر يساط حدد سنه هل اسلام صحيح حن حضر لاد حرم مش من صور
67,False,NEU,msa,لهم إخوا حلب ضاق على أرض رحب ستقوى على ظالم خذ يد نصر صر عزيز مقتدراللهمآمينياربا
68,False,NEU,msa,افروف موسك أمل إجراء حوار ناء شأن أزم سور خلال قائ زير خارج إير ركي
69,False,NEU,egypt,انتخاب ازم شت
70,False,NEG,msa,رغم سهول صمت أن شد ثقل كلام
71,False,POS,egypt,نا عايز رام عياش
72,False,NEU,msa,عاااااااجل أجيل مراسم جناز دول استرو عدم صول صالح حكوم كوب قول استرو وصى إحراق على
73,False,NEU,msa,طبير شياط وم عاشوراء سن آل بيت سن بوذي هندوس عراق غداد بصره ربلاء بحر
74,False,NEU,msa,رد وت وسع الناتوسبوتنيك روسي
75,False,NEU,msa,مساعد جوجل ذك توفر ضمن ندرويد تقن
76,False,NEG,msa,أسف مورينه خطى أن عتقد أن لعب رشلون شر احتياطي ۈ ان خاسر هدف فرق رشلون مورينه
77,False,NEU,msa,زم قاعد عشيق ماذ رفض إير تدخل ترك عراق بديل
